X__gid,cod,tipo,cveigecem,nom_mun,deleg,cveinegi,nom_reg,num_reg,uso,tipologia,valm2,distrito_centro,area,distrito1_nombre,distrito1_puntos,distrito1_area,distrito2_nombre,distrito2_puntos,distrito2_area,distrito3_nombre,distrito3_puntos,distrito3_area,distrito4_nombre,distrito4_puntos,distrito4_area,distrito5_nombre,distrito5_puntos,distrito5_area
1239,179,H3,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Habitacional interés social,Habitacional,NA,205,356055.6662,205,622,356055.67,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3709,30,H2,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional popular,Habitacional,NA,177,986167.1271,177,622,986167.13,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5667,135,H1,79,TEXCOCO,Texcoco,15099,Texcoco,XI,Habitacional precario,Habitacional,NA,174,158981.652,174,622,158981.65,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
953,22,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,404491.262,171,623,404491.26,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4834,15,H1,18,TEMAMATLA,Nezahualcóyotl,15083,Amecameca,I,Habitacional precario,Habitacional,NA,206,128735.9814,206,623,128735.98,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6617,43,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,138,752432.6433,128,5,6038.79,129,105,126814.49,130,278,335756.46,138,235,283822.91,0,0,0.00
1490,12,H3,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,141,154234.0578,141,624,154234.06,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5366,62,H1,89,TEOTIHUACÁN,Texcoco,15092,Ecatepec,V,Habitacional precario,Habitacional,NA,171,932591.7765,171,624,932591.78,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1854,111,E1,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Equipamiento,Equipamiento,NA,155,473787.0966,155,625,473787.10,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1875,162,H2,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional popular,Habitacional,NA,146,2207200.651,146,625,2207200.65,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
168,105,E1,80,ACOLMAN,Ecatepec de Morelos,15002,Ecatepec,V,Equipamiento,Equipamiento,NA,171,7205.559151,171,626,7205.56,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1396,15,H2,83,CHICOLOAPAN,Texcoco,15029,Chimalhuacán,III,Habitacional popular,Habitacional,NA,189,1035966.45,189,626,1035966.45,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2322,106,H2,15,IXTAPALUCA,Nezahualcóyotl,15039,Chimalhuacán,III,Habitacional popular,Habitacional,NA,204,463306.9913,204,626,463306.99,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5355,37,C1,89,TEOTIHUACÁN,Texcoco,15092,Ecatepec,V,Comercial bajo,Comercial,NA,171,4762.081117,171,626,4762.08,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6087,49,C3,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Comercial alto,Comercial,NA,112,33576.16053,112,626,33576.16,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2261,16,H3,15,IXTAPALUCA,Nezahualcóyotl,15039,Chimalhuacán,III,Habitacional interés social,Habitacional,NA,194,71583.60113,194,627,71583.60,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1622,74,H3,1,CUAUTITLÁN,Naucalpan de Juárez,15024,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,132,230282.6881,131,9,3300.23,132,619,226982.46,0,0,0.00,0,0,0.00,0,0,0.00
1138,173,C1,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Comercial bajo,Comercial,NA,206,67061.0194,206,628,67061.02,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1637,48,H3,1,CUAUTITLÁN,Naucalpan de Juárez,15024,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,131,448365.4132,131,626,446937.50,136,2,1427.92,0,0,0.00,0,0,0.00,0,0,0.00
3743,119,H3,99,NICOLÁS ROMERO,Naucalpan de Juárez,15060,Naucalpan,VIII,Habitacional interés social,Habitacional,NA,121,24631.17762,121,628,24631.18,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5423,32,H1,90,TEPETLAOXTOC,Texcoco,15093,Texcoco,XI,Habitacional precario,Habitacional,NA,175,66085.24093,175,628,66085.24,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5995,6,I3,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Industrial mediana,Industrial,NA,113,2468173.769,112,6,23581.28,113,622,2444592.49,0,0,0.00,0,0,0.00,0,0,0.00
1251,30,H2,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Habitacional popular,Habitacional,NA,205,791831.999,205,629,791832.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4651,89,H3,47,TECÁMAC,Ecatepec de Morelos,15081,Ecatepec,V,Habitacional interés social,Habitacional,NA,164,708406.5092,164,629,708406.51,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6652,58,H4,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional residencial medio,Habitacional,NA,138,43840.21125,138,629,43840.21,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1005,6,E1,12,AYAPANGO,Nezahualcóyotl,15017,Amecameca,I,Equipamiento,Equipamiento,NA,206,213663.9323,206,630,213663.93,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
2074,105,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,1345841.791,134,630,1345841.79,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3762,7,E1,45,NOPALTEPEC,Texcoco,15061,Ecatepec,V,Equipamiento,Equipamiento,NA,171,218211.2418,171,630,218211.24,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4831,10,H1,18,TEMAMATLA,Nezahualcóyotl,15083,Amecameca,I,Habitacional precario,Habitacional,NA,206,162259.5849,206,630,162259.58,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5994,117,E1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Equipamiento,Equipamiento,NA,114,515803.7953,114,630,515803.80,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1658,136,C3,121,CUAUTITLÁN IZCALLI,Naucalpan de Juárez,15121,Cuautitlán Izcalli,IV,Comercial alto,Comercial,NA,126,67084.68439,126,631,67084.68,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5695,142,H3,79,TEXCOCO,Texcoco,15099,Texcoco,XI,Habitacional interés social,Habitacional,NA,174,87360.23839,173,3,415.34,174,628,86944.90,0,0,0.00,0,0,0.00,0,0,0.00
7318,157,I1,115,ZUMPANGO,Ecatepec de Morelos,15120,Zumpango,XVI,Industrial económica,Industrial,NA,166,635146.9233,166,631,635146.92,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
1390,24,H3,83,CHICOLOAPAN,Texcoco,15029,Chimalhuacán,III,Habitacional interés social,Habitacional,NA,189,378613.4086,189,632,378613.41,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3105,1,H2,4,MELCHOR OCAMPO,Naucalpan de Juárez,15053,Tultitlán,XIV,Habitacional popular,Habitacional,NA,131,2168465.226,131,632,2168465.23,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3520,84,H5,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Habitacional residencial bueno,Habitacional,NA,109,974579.994,108,248,382430.12,109,384,592149.87,0,0,0.00,0,0,0.00,0,0,0.00
5341,46,H1,89,TEOTIHUACÁN,Texcoco,15092,Ecatepec,V,Habitacional precario,Habitacional,NA,171,935239.3227,171,632,935239.32,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5350,57,H1,89,TEOTIHUACÁN,Texcoco,15092,Ecatepec,V,Habitacional precario,Habitacional,NA,171,130018.7331,171,632,130018.73,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
6068,119,E1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Equipamiento,Equipamiento,NA,112,537486.0887,112,627,533233.83,115,5,4252.26,0,0,0.00,0,0,0.00,0,0,0.00
665,31,H1,81,ATENCO,Ecatepec de Morelos,15011,Texcoco,XI,Habitacional precario,Habitacional,NA,170,4348349.175,169,3,20608.29,170,630,4327740.89,0,0,0.00,0,0,0.00,0,0,0.00
1218,178,H3,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Habitacional interés social,Habitacional,NA,204,153638.9531,204,614,149027.36,205,19,4611.60,0,0,0.00,0,0,0.00,0,0,0.00
2048,31,H3,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Habitacional interés social,Habitacional,NA,133,68435.81076,133,634,68435.81,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
