"X__gid","cod","tipo","cveigecem","nom_mun","deleg","cveinegi","nom_reg","num_reg","uso","tipologia","valm2","distrito_centro","area","distrito1_nombre","distrito1_puntos","distrito2_nombre","distrito2_puntos","distrito3_nombre","distrito3_puntos","distrito4_nombre","distrito4_puntos","distrito5_nombre","distrito5_puntos"
1821,"014","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"149",2768237.40491434,"147",14,"148",26,"149",47,"150",6,"158",6
1822,"029","I3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial mediana","Industrial",NA,"150",959606.488778025,"139",1,"150",98,"151",1,"0",0,"0",0
1823,"087","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"163",227391.609035581,"162",37,"163",63,"0",0,"0",0,"0",0
1896,"024","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"160",3200669.74781362,"156",51,"157",9,"160",34,"173",6,"0",0
1801,"188","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"169",180062.357763262,"161",12,"169",88,"0",0,"0",0,"0",0
1897,"076","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"162",447882.41958186,"162",99,"163",1,"0",0,"0",0,"0",0
1885,"101","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"154",201808.43067719,"154",99,"173",1,"0",0,"0",0,"0",0
1827,"016","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"157",1952921.80591634,"150",5,"157",36,"158",19,"159",40,"0",0
1828,"105","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"162",230114.754370311,"161",2,"162",69,"168",5,"169",23,"0",0
1829,"150","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"169",15193.9371618843,"169",100,"0",0,"0",0,"0",0,"0",0
1802,"143","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"147",168390.881240344,"147",100,"0",0,"0",0,"0",0,"0",0
1803,"185","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"161",60524.3362941295,"161",71,"162",29,"0",0,"0",0,"0",0
1804,"052","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"160",15038.1234953403,"160",100,"0",0,"0",0,"0",0,"0",0
1830,"151","I2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial ligera","Industrial",NA,"169",46058.5299161095,"169",100,"0",0,"0",0,"0",0,"0",0
1831,"055","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"159",276577.034379814,"158",8,"159",92,"0",0,"0",0,"0",0
1832,"125","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"147",48803.7260656981,"147",88,"158",12,"0",0,"0",0,"0",0
1833,"122","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"158",121310.33403854,"158",100,"0",0,"0",0,"0",0,"0",0
1805,"177","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"154",113871.843967468,"154",100,"0",0,"0",0,"0",0,"0",0
1834,"015","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"158",1251751.8423281,"148",14,"158",86,"0",0,"0",0,"0",0
1806,"039","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"163",901378.207257912,"163",100,"0",0,"0",0,"0",0,"0",0
1807,"053","E1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Equipamiento","Equipamiento",NA,"163",51426.9560380578,"162",20,"163",80,"0",0,"0",0,"0",0
1835,"077","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"162",1094731.05257061,"161",20,"162",62,"163",18,"0",0,"0",0
1836,"129","I1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial económica","Industrial",NA,"162",325550.181622278,"162",56,"163",44,"0",0,"0",0,"0",0
1825,"135","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"147",37080.7599001825,"147",100,"0",0,"0",0,"0",0,"0",0
1898,"086","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"162",167935.922539353,"158",10,"162",89,"164",1,"0",0,"0",0
