X__gid,cod,tipo,cveinegi,tipologia,distrito,area
6829,38,H1,15122,Habitacional,NA,14462.87675
6868,33,A4,15112,Agrícola,NA,4159383.041
7371,109,E1,15120,Equipamiento,NA,62710.758
6869,25,H1,15112,Habitacional,NA,610018.0052
6870,12,A1,15112,Agrícola,NA,610018.0052
6871,12,A1,15112,Agrícola,NA,14067919.44
6865,31,F1,15112,Forestal,NA,8258017.152
6866,29,H1,15112,Habitacional,NA,2138244.094
6867,16,A1,15112,Agrícola,NA,3728097.076
6872,11,H1,15112,Habitacional,NA,1491528.347
6873,11,H1,15112,Habitacional,NA,8028619.288
6877,10,H1,15112,Habitacional,NA,329578.8797
6874,23,H1,15112,Habitacional,NA,1491528.335
6875,19,H2,15112,Habitacional,NA,2052618.7
6876,10,H1,15112,Habitacional,NA,33093.15092
6881,39,H1,15112,Habitacional,NA,2198754.234
6882,8,H1,15112,Habitacional,NA,2835872.979
6883,32,L2,15112,Especial,NA,3729366.699
6884,40,G1,15112,Eriazo,NA,5691752.142
6885,4,H2,15112,Habitacional,NA,2663246.311
6886,20,A1,15112,Agrícola,NA,36221377.3
6887,21,A1,15112,Agrícola,NA,20022197.94
6888,17,A1,15112,Agrícola,NA,13609213.54
6889,24,H1,15112,Habitacional,NA,431971.8597
6890,15,A1,15112,Agrícola,NA,15540205.44
6891,35,B1,15112,Agostadero,NA,35509628.32
6892,27,H2,15112,Habitacional,NA,463116.3884
6893,34,B1,15112,Agostadero,NA,15156284.32
6894,28,A1,15112,Agrícola,NA,1253433.445
6895,30,A1,15112,Agrícola,NA,12830808.89
6896,26,L3,15112,Especial,NA,61946703.5
6897,6,H1,15112,Habitacional,NA,7158568.673
6906,2,H2,15112,Habitacional,NA,600717.1328
6898,1,H2,15112,Habitacional,NA,515059.3437
6907,5,H3,15112,Habitacional,NA,11711.58978
6899,18,H1,15112,Habitacional,NA,1293732.964
6900,36,L2,15112,Especial,NA,68312.45567
6901,3,H3,15112,Habitacional,NA,1722567.178
6902,13,A1,15112,Agrícola,NA,6794506.507
6903,9,A1,15112,Agrícola,NA,4874972.304
6904,14,A1,15112,Agrícola,NA,14303298.69
6905,37,L2,15112,Especial,NA,60814.96545
6908,22,H1,15112,Habitacional,NA,2264129.998
7372,173,A2,15120,Agrícola,NA,1861507.483
7382,114,H1,15120,Habitacional,NA,820484.5651
7383,17,H1,15120,Habitacional,NA,92997.82456
7388,5,C1,15120,Comercial,NA,101782.4592
7389,120,A2,15120,Agrícola,NA,746768.424
7390,184,H3,15120,Habitacional,NA,1467532.823
7391,19,H1,15120,Habitacional,NA,369756.3758
7321,26,H1,15120,Habitacional,NA,297641.4514
7322,193,I2,15120,Industrial,NA,70602.47831
7323,101,H2,15120,Habitacional,NA,82890.11872
7402,38,E1,15120,Equipamiento,NA,22674892.68
7333,177,H1,15120,Habitacional,NA,362470.6456
7325,125,H1,15120,Habitacional,NA,571626.9256
7341,107,H1,15120,Habitacional,NA,2200959.632
7346,108,H1,15120,Habitacional,NA,410090.3902
7326,182,H3,15120,Habitacional,NA,1266241.297
7324,121,A1,15120,Agrícola,NA,3745129.96
7319,45,H3,15120,Habitacional,NA,418370.3155
7314,170,A2,15120,Agrícola,NA,53132.7474
7315,160,H2,15120,Habitacional,NA,272235.0091
7316,131,H1,15120,Habitacional,NA,170623.2704
7317,146,H1,15120,Habitacional,NA,165650.7322
7318,157,I1,15120,Industrial,NA,635146.9233
7327,40,A3,15120,Agrícola,NA,871621.9989
7328,188,H3,15120,Habitacional,NA,329157.8069
7329,28,I2,15120,Industrial,NA,189044.8582
7330,167,A2,15120,Agrícola,NA,14586086.2
7331,134,H1,15120,Habitacional,NA,57696.20849
7332,158,I1,15120,Industrial,NA,92942.7866
7335,104,H1,15120,Habitacional,NA,1869123.028
7336,36,A4,15120,Agrícola,NA,2656762.241
7337,122,H1,15120,Habitacional,NA,1258425.714
7338,31,A4,15120,Agrícola,NA,8366628.228
7339,32,A4,15120,Agrícola,NA,4925786.897
7340,124,H1,15120,Habitacional,NA,2123005.583
7342,34,A4,15120,Agrícola,NA,16866096.93
7343,117,A2,15120,Agrícola,NA,1472513.713
7344,3,H1,15120,Habitacional,NA,891826.0966
7345,111,H2,15120,Habitacional,NA,728768.8427
7347,127,H1,15120,Habitacional,NA,457616.0677
7360,126,A2,15120,Agrícola,NA,3376121.026
7361,123,H1,15120,Habitacional,NA,372828.2347
7348,128,A2,15120,Agrícola,NA,8202866.953
7349,132,I1,15120,Industrial,NA,673753.4967
7350,191,A2,15120,Agrícola,NA,7506926.451
7351,190,H3,15120,Habitacional,NA,437498.3492
7352,30,H2,15120,Habitacional,NA,72172.7453
7362,42,H1,15120,Habitacional,NA,673756.7675
7353,112,H1,15120,Habitacional,NA,1642431.207
7354,180,H3,15120,Habitacional,NA,183278.6274
7355,7,H1,15120,Habitacional,NA,530099.04
7356,181,H3,15120,Habitacional,NA,1794573.321
7357,185,H3,15120,Habitacional,NA,2373990.586
7358,137,A2,15120,Agrícola,NA,95488.26486
7359,14,H1,15120,Habitacional,NA,59154.72001
7365,1,H2,15120,Habitacional,NA,2867894.103
7366,183,H3,15120,Habitacional,NA,4436586.216
7367,142,A2,15120,Agrícola,NA,920354.325
7368,194,H3,15120,Habitacional,NA,81070.44052
7369,33,A4,15120,Agrícola,NA,17114713.31
7370,110,A2,15120,Agrícola,NA,1190553.85
7373,39,L2,15120,Especial,NA,12955394.9
7374,37,A2,15120,Agrícola,NA,5126389.364
7375,23,H1,15120,Habitacional,NA,504435.5231
7376,189,C2,15120,Comercial,NA,176468.9146
7377,103,H1,15120,Habitacional,NA,439535.1939
7378,8,H2,15120,Habitacional,NA,109692.0704
7379,179,H1,15120,Habitacional,NA,825586.6012
7380,102,H1,15120,Habitacional,NA,1321543.945
7381,192,H2,15120,Habitacional,NA,543242.1934
7384,135,A2,15120,Agrícola,NA,5126415.53
7385,15,A2,15120,Agrícola,NA,1375963.598
7386,164,H2,15120,Habitacional,NA,1677497.913
7387,6,H3,15120,Habitacional,NA,2511119.527
7392,18,H2,15120,Habitacional,NA,2010232.148
7393,162,H1,15120,Habitacional,NA,1221972.839
7394,35,A4,15120,Agrícola,NA,11083985.43
7395,12,H1,15120,Habitacional,NA,456965.8331
7396,119,H1,15120,Habitacional,NA,423311.9727
7397,186,H3,15120,Habitacional,NA,446891.5145
7398,133,A1,15120,Agrícola,NA,10692692.71
7399,155,A4,15120,Agrícola,NA,730641.4408
7400,159,E1,15120,Equipamiento,NA,287470.5477
7401,178,A2,15120,Agrícola,NA,273597.2385
7403,168,H1,15120,Habitacional,NA,3367626.515
7404,43,H1,15120,Habitacional,NA,10723.5443
7405,100,H2,15120,Habitacional,NA,1262768.95
7406,175,H2,15120,Habitacional,NA,89566.77535
7407,174,H2,15120,Habitacional,NA,2367739.36
7414,129,A2,15120,Agrícola,NA,3274986.466
7408,11,H2,15120,Habitacional,NA,490702.9471
7409,115,I2,15120,Industrial,NA,29447.90617
7410,113,H1,15120,Habitacional,NA,1201993.564
7411,187,H3,15120,Habitacional,NA,18546.47892
7412,156,A2,15120,Agrícola,NA,2895980.461
7413,41,H1,15120,Habitacional,NA,34532.88944
7416,149,A2,15120,Agrícola,NA,9930733.551
7417,150,H1,15120,Habitacional,NA,98240.28724
